Frequent Itemsets for Gene Data

{gene_1}:  sup = 0.83
{gene_12}:  sup = 0.54
{gene_14}:  sup = 0.52
{gene_17}:  sup = 0.55
{gene_21}:  sup = 0.62
{gene_22}:  sup = 0.55
{gene_23}:  sup = 0.54
{gene_25}:  sup = 0.57
{gene_26}:  sup = 0.52
{gene_27}:  sup = 0.51
{gene_3}:  sup = 0.71
{gene_31}:  sup = 0.51
{gene_36}:  sup = 0.61
{gene_37}:  sup = 0.56
{gene_39}:  sup = 0.51
{gene_4}:  sup = 0.5
{gene_43}:  sup = 0.5
{gene_45}:  sup = 0.58
{gene_47}:  sup = 0.66
{gene_48}:  sup = 0.57
{gene_5}:  sup = 0.73
{gene_50}:  sup = 0.5
{gene_53}:  sup = 0.5
{gene_54}:  sup = 0.67
{gene_55}:  sup = 0.55
{gene_56}:  sup = 0.51
{gene_59}:  sup = 0.76
{gene_6}:  sup = 0.66
{gene_60}:  sup = 0.54
{gene_63}:  sup = 0.5
{gene_64}:  sup = 0.5
{gene_66}:  sup = 0.59
{gene_67}:  sup = 0.62
{gene_71}:  sup = 0.58
{gene_72}:  sup = 0.74
{gene_75}:  sup = 0.57
{gene_77}:  sup = 0.58
{gene_78}:  sup = 0.59
{gene_8}:  sup = 0.66
{gene_81}:  sup = 0.58
{gene_83}:  sup = 0.5
{gene_84}:  sup = 0.54
{gene_87}:  sup = 0.67
{gene_89}:  sup = 0.59
{gene_9}:  sup = 0.5
{gene_90}:  sup = 0.52
{gene_91}:  sup = 0.65
{gene_93}:  sup = 0.53
{gene_94}:  sup = 0.62
{gene_98}:  sup = 0.51
{gene_99}:  sup = 0.56
{gene_5, gene_72}:  sup = 0.51
{gene_59, gene_5}:  sup = 0.51
{gene_1, gene_59}:  sup = 0.62
{gene_47, gene_3}:  sup = 0.5
{gene_3, gene_72}:  sup = 0.53
{gene_47, gene_5}:  sup = 0.53
{gene_1, gene_67}:  sup = 0.55
{gene_1, gene_3}:  sup = 0.63
{gene_1, gene_8}:  sup = 0.53
{gene_1, gene_84}:  sup = 0.5
{gene_81, gene_1}:  sup = 0.51
{gene_87, gene_59}:  sup = 0.51
{gene_1, gene_6}:  sup = 0.59
{gene_1, gene_89}:  sup = 0.52
{gene_1, gene_72}:  sup = 0.61
{gene_87, gene_1}:  sup = 0.56
{gene_1, gene_21}:  sup = 0.53
{gene_87, gene_5}:  sup = 0.51
{gene_91, gene_5}:  sup = 0.5
{gene_1, gene_94}:  sup = 0.54
{gene_59, gene_3}:  sup = 0.56
{gene_1, gene_54}:  sup = 0.58
{gene_91, gene_1}:  sup = 0.55
{gene_1, gene_47}:  sup = 0.59
{gene_5, gene_3}:  sup = 0.59
{gene_59, gene_6}:  sup = 0.51
{gene_1, gene_5}:  sup = 0.65
{gene_6, gene_5}:  sup = 0.52
{gene_59, gene_72}:  sup = 0.62
{gene_1, gene_72, gene_59}:  sup = 0.5
{gene_1, gene_5, gene_3}:  sup = 0.52
