passengers,trunck_size,safety,label
2,small,low,unacc
2,small,med,unacc
2,small,high,unacc
2,med,low,unacc
2,med,med,unacc
2,med,high,unacc
2,big,low,unacc
2,big,med,unacc
2,big,high,unacc
4,small,low,unacc
4,small,med,unacc
4,small,high,unacc
4,med,low,unacc
4,med,med,unacc
4,med,high,unacc
4,big,low,unacc
4,big,med,unacc
4,big,high,unacc
more,small,low,unacc
more,small,med,unacc
more,small,high,unacc
more,med,low,unacc
more,med,med,unacc
more,med,high,unacc
more,big,low,unacc
more,big,med,unacc
more,big,high,unacc
2,small,low,unacc
2,small,med,unacc
2,small,high,unacc
2,med,low,unacc
2,med,med,unacc
2,med,high,unacc
2,big,low,unacc
2,big,med,unacc
2,big,high,unacc
4,small,low,unacc
4,small,med,unacc
4,small,high,unacc
4,med,low,unacc
4,med,med,unacc
4,med,high,unacc
4,big,low,unacc
4,big,med,unacc
4,big,high,unacc
more,small,low,unacc
more,small,med,unacc
more,small,high,unacc
more,med,low,unacc
more,med,med,unacc
more,med,high,unacc
more,big,low,unacc
more,big,med,unacc
more,big,high,unacc
2,small,low,unacc
2,small,med,unacc
2,small,high,unacc
2,med,low,unacc
2,med,med,unacc
2,med,high,unacc
2,big,low,unacc
2,big,med,unacc
2,big,high,unacc
4,small,low,unacc
4,small,med,unacc
4,small,high,unacc
4,med,low,unacc
4,med,med,unacc
4,med,high,unacc
4,big,low,unacc
4,big,med,unacc
4,big,high,unacc
more,small,low,unacc
more,small,med,unacc
more,small,high,unacc
more,med,low,unacc
more,med,med,unacc
more,med,high,unacc
more,big,low,unacc
more,big,med,unacc
more,big,high,unacc
2,small,low,unacc
2,small,med,unacc
2,small,high,unacc
2,med,low,unacc
2,med,med,unacc
2,med,high,unacc
2,big,low,unacc
2,big,med,unacc
2,big,high,unacc
4,small,low,unacc
4,small,med,unacc
4,small,high,unacc
4,med,low,unacc
4,med,med,unacc
4,med,high,unacc
4,big,low,unacc
4,big,med,unacc
4,big,high,unacc
more,small,low,unacc
more,small,med,unacc
more,small,high,unacc
more,med,low,unacc
more,med,med,unacc
more,med,high,unacc
more,big,low,unacc
more,big,med,unacc
more,big,high,unacc
2,small,low,unacc
2,small,med,unacc
2,small,high,unacc
2,med,low,unacc
2,med,med,unacc
2,med,high,unacc
2,big,low,unacc
2,big,med,unacc
2,big,high,unacc
4,small,low,unacc
4,small,med,unacc
4,small,high,unacc
4,med,low,unacc
4,med,med,unacc
4,med,high,unacc
4,big,low,unacc
4,big,med,unacc
4,big,high,unacc
more,small,low,unacc
more,small,med,unacc
more,small,high,unacc
more,med,low,unacc
more,med,med,unacc
more,med,high,unacc
more,big,low,unacc
more,big,med,unacc
more,big,high,unacc
2,small,low,unacc
2,small,med,unacc
2,small,high,unacc
2,med,low,unacc
2,med,med,unacc
2,med,high,unacc
2,big,low,unacc
2,big,med,unacc
2,big,high,unacc
4,small,low,unacc
4,small,med,unacc
4,small,high,unacc
4,med,low,unacc
4,med,med,unacc
4,med,high,unacc
4,big,low,unacc
4,big,med,unacc
4,big,high,unacc
more,small,low,unacc
more,small,med,unacc
more,small,high,unacc
more,med,low,unacc
more,med,med,unacc
more,med,high,unacc
more,big,low,unacc
more,big,med,unacc
more,big,high,unacc
2,small,low,unacc
2,small,med,unacc
2,small,high,unacc
2,med,low,unacc
2,med,med,unacc
2,med,high,unacc
2,big,low,unacc
2,big,med,unacc
2,big,high,unacc
4,small,low,unacc
4,small,med,unacc
4,small,high,unacc
4,med,low,unacc
4,med,med,unacc
4,med,high,unacc
4,big,low,unacc
4,big,med,unacc
4,big,high,unacc
more,small,low,unacc
more,small,med,unacc
more,small,high,unacc
more,med,low,unacc
more,med,med,unacc
more,med,high,unacc
more,big,low,unacc
more,big,med,unacc
more,big,high,unacc
2,small,low,unacc
2,small,med,unacc
2,small,high,unacc
2,med,low,unacc
2,med,med,unacc
2,med,high,unacc
2,big,low,unacc
2,big,med,unacc
2,big,high,unacc
4,small,low,unacc
4,small,med,unacc
4,small,high,unacc
4,med,low,unacc
4,med,med,unacc
4,med,high,unacc
